u_cor_T],[u_c0],[eta_is_T_ts],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[

[230,1.27305],[230,1.30392],[230,1.34063],[230,1.38482],[230,1.43878],[230,1.50577],[230,1.59061],[230,1.70066],[230,1.84776],[230,2.05185],[230,2.34924],[230,2.81181],[230,3.60117],[230,5.14998]
[0.72512],[0.73310],[0.72671],[0.72343],[0.71180],[0.69758],[0.68061],[0.65528],[0.62858],[0.59563],[0.55927],[0.51316],[0.45432],[0.38027],

[310,1.56859],[310,1.64246],[310,1.73300],[310,1.84593],[310,1.98978],[310,2.17775],[310,2.43124],[310,2.78692],[310,3.31249],[310,4.14437],[310,5.59556]
[0.75248],[0.74370],[0.73599],[0.72664],[0.71568],[0.69464],[0.67130],[0.63371],[0.58810],[0.52842],[0.45515]

[370,1.62875],[370,1.70066],[370,1.78670],[370,1.89112],[370,2.01987],[370,2.18164],[370,2.38951],[370,2.66399],[370,3.03889],[370,3.57328],[370,4.37845],[370,5.68477]
[0.71861],[0.74990],[0.75678],[0.75211],[0.74910],[0.74205],[0.72979],[0.70555],[0.67896],[0.63054],[0.56894],[0.50011]

[420,1.89758],[420,2.01082],[420,2.14910],[420,2.32089],[420,2.53862],[420,2.82132],[420,3.19928],[420,3.72335],[420,4.48437],[420,5.65837]
[0.74273],[0.75504],[0.75439],[0.75257],[0.74717],[0.73219],[0.69862],[0.65510],[0.59648],[0.53200]

[460,2.18561],[460,2.34920],[460,2.55297],[460,2.81192],[460,3.14922],[460,3.60162],[460,4.23158],[460,5.15036],[460,6.57447]
[0.74287],[0.74792],[0.74917],[0.74360],[0.72002],[0.68578],[0.63524],[0.57573],[0.51651]

[490,1.98744],[490,2.09974],[490,2.23427],[490,2.39757],[490,2.59905],[490,2.85253],[490,3.17847],[490,3.60885],[490,4.19613],[490,5.03101],[490,6.28144]
[0.66493],[0.69772],[0.72228],[0.73507],[0.73727],[0.73893],[0.72659],[0.69350],[0.64730],[0.59164],[0.53474]
