u_cor_T],[pi_T_ts],[TFP],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[

[230,1.27305],[230,1.30392],[230,1.34063],[230,1.38482],[230,1.43878],[230,1.50577],[230,1.59061],[230,1.70066],[230,1.84776],[230,2.05185],[230,2.34924],[230,2.81181],[230,3.60117],[230,5.14998]
[1.34714],[1.41808],[1.47987],[1.55098],[1.62026],[1.69219],[1.76749],[1.83998],[1.91347],[1.98128],[2.04018],[2.08743],[2.12260],[2.14005]

[310,1.56859],[310,1.64246],[310,1.73300],[310,1.84593],[310,1.98978],[310,2.17775],[310,2.43124],[310,2.78692],[310,3.31249],[310,4.14437],[310,5.59556]
[1.70196],[1.76007],[1.82271],[1.88606],[1.94728],[1.99856],[2.04304],[2.07270],[2.09661],[2.10873],[2.11359]

[370,1.62875],[370,1.70066],[370,1.78670],[370,1.89112],[370,2.01987],[370,2.18164],[370,2.38951],[370,2.66399],[370,3.03889],[370,3.57328],[370,4.37845],[370,5.68477]
[1.66262],[1.74188],[1.80367],[1.85706],[1.91208],[1.96354],[2.00749],[2.03871],[2.06440],[2.07534],[2.07976],[2.08288]

[420,1.89758],[420,2.01082],[420,2.14910],[420,2.32089],[420,2.53862],[420,2.82132],[420,3.19928],[420,3.72335],[420,4.48437],[420,5.65837]
[1.80382],[1.85943],[1.90675],[1.95196],[1.99088],[2.01801],[2.03485],[2.04353],[2.04648],[2.04907]

[460,2.18561],[460,2.34920],[460,2.55297],[460,2.81192],[460,3.14922],[460,3.60162],[460,4.23158],[460,5.15036],[460,6.57447]
[1.87387],[1.91543],[1.95202],[1.97916],[1.99535],[2.00660],[2.01019],[2.01245],[2.01500]

[490,1.98744],[490,2.09974],[490,2.23427],[490,2.39757],[490,2.59905],[490,2.85253],[490,3.17847],[490,3.60885],[490,4.19613],[490,5.03101],[490,6.28144]
[1.73492],[1.79872],[1.85162],[1.89298],[1.92448],[1.95086],[1.96645],[1.97586],[1.97966],[1.98179],[1.98397]
